Corrected_Mean,FORECAST,STD,L95,U95,RESIDUAL,,,,,
0.992,,,,,,,,Date,Actual Height,Forecasted Height
0.812,0.811884187,0.00602437,0.800076639,0.823691734,0.000115813,,,,,
0.842,0.837230256,0.00602437,0.825422709,0.849037804,0.004769744,,,,,
0.862,0.865285667,0.00602437,0.853478119,0.877093214,-0.003285667,,,,,
0.882,0.878837395,0.00602437,0.867029847,0.890644942,0.003162605,,,,,
0.892,0.89756635,0.00602437,0.885758803,0.909373898,-0.00556635,,,,,
0.902,0.902109957,0.00602437,0.890302409,0.913917504,-0.000109957,,,,,
0.902,0.91053822,0.00602437,0.898730673,0.922345768,-0.00853822,,,,,
0.912,0.905344376,0.00602437,0.893536829,0.917151924,0.006655624,,,,,
0.912,0.920531102,0.00602437,0.908723554,0.932338649,-0.008531102,,,,,
0.922,0.915620549,0.00602437,0.903813002,0.927428096,0.006379451,,,,,
0.922,0.929071862,0.00602437,0.917264315,0.94087941,-0.007071862,,,,,
0.922,0.923875336,0.00602437,0.912067789,0.935682884,-0.001875336,,,,,
0.922,0.922538851,0.00602437,0.910731304,0.934346399,-0.000538851,,,,,
0.932,0.922902064,0.00602437,0.911094517,0.934709612,0.009097936,,,,,
0.932,0.940225519,0.00602437,0.928417971,0.952033066,-0.008225519,,,,,
0.932,0.935056466,0.00602437,0.923248918,0.946864013,-0.003056466,,,,,
0.932,0.931603687,0.00602437,0.91979614,0.943411235,0.000396313,,,,,
0.932,0.931306877,0.00602437,0.91949933,0.943114425,0.000693123,,,,,
0.932,0.931954011,0.00602437,0.920146463,0.943761558,4.59895E-05,,,,,
0.932,0.931478389,0.00602437,0.919670842,0.943285937,0.000521611,,,,,
0.932,0.931808938,0.00602437,0.920001391,0.943616486,0.000191062,,,,,
0.932,0.931408367,0.00602437,0.919600819,0.943215914,0.000591633,,,,,
0.932,0.93176306,0.00602437,0.919955512,0.943570607,0.00023694,,,,,
0.932,0.931724051,0.00602437,0.919916504,0.943531599,0.000275949,,,,,
0.932,0.9322979,0.00602437,0.920490352,0.944105447,-0.0002979,,,,,
0.932,0.931884288,0.00602437,0.92007674,0.943691835,0.000115712,,,,,
0.932,0.931731023,0.00602437,0.919923475,0.94353857,0.000268978,,,,,
0.932,0.931482166,0.00602437,0.919674618,0.943289713,0.000517834,,,,,
0.932,0.932062827,0.00602437,0.92025528,0.943870375,-0.000062827,,,,,
0.932,0.932240251,0.00602437,0.920432704,0.944047799,-0.000240251,,,,,
0.932,0.932036296,0.00602437,0.920228749,0.943843843,-0.000036296,,,,,
0.932,0.931879481,0.00602437,0.920071933,0.943687028,0.000120519,,,,,
0.932,0.931894154,0.00602437,0.920086606,0.943701701,0.000105846,,,,,
0.932,0.931938539,0.00602437,0.920130991,0.943746086,6.14614E-05,,,,,
0.932,0.932004587,0.00602437,0.92019704,0.943812135,-4.59E-06,,,,,
0.932,0.932040532,0.00602437,0.920232984,0.943848079,-0.000040532,,,,,
0.932,0.932082724,0.00602437,0.920275177,0.943890272,-0.000082724,,,,,
0.932,0.932090892,0.00602437,0.920283345,0.94389844,-0.000090892,,,,,
0.932,0.932089407,0.00602437,0.920281859,0.943896954,-0.000089407,,,,,
0.932,0.932027843,0.00602437,0.920220295,0.94383539,-0.000027843,,,,,
0.932,0.931972228,0.00602437,0.92016468,0.943779775,2.77724E-05,,,,,
0.932,0.931952179,0.00602437,0.920144631,0.943759726,4.78213E-05,,,,,
0.932,0.931983827,0.00602437,0.920176279,0.943791374,1.61735E-05,,,,,
0.932,0.932015683,0.00602437,0.920208135,0.94382323,-0.000015682,,,,,
0.932,0.932016056,0.00602437,0.920208508,0.943823603,-0.000016056,,,,,
0.932,0.931998755,0.00602437,0.920191208,0.943806303,1.24E-06,,,,,
0.932,0.93198544,0.00602437,0.920177893,0.943792988,1.45597E-05,,,,,
0.932,0.931979925,0.00602437,0.920172377,0.943787472,2.00752E-05,,,,,
0.932,0.931980506,0.00602437,0.920172958,0.943788053,1.94944E-05,,,,,
0.942,0.931982968,0.00602437,0.92017542,0.943790515,0.010017033,,,,,
0.942,0.948832063,0.00602437,0.937024515,0.96063961,-0.006832063,,,,,
0.942,0.944127087,0.00602437,0.93231954,0.955934634,-0.002127087,,,,,
0.942,0.941235971,0.00602437,0.929428424,0.953043519,0.000764029,,,,,
0.942,0.941512576,0.00602437,0.929705028,0.953320123,0.000487424,,,,,
0.942,0.942088,0.00602437,0.930280453,0.953895548,-0.000088,,,,,
0.942,0.9420964,0.00602437,0.930288853,0.953903948,-0.0000964,,,,,
0.942,0.941972001,0.00602437,0.930164454,0.953779549,2.79988E-05,,,,,
0.942,0.94220099,0.00602437,0.930393442,0.954008537,-0.00020099,,,,,
0.942,0.94208695,0.00602437,0.930279403,0.953894498,-0.00008695,,,,,
0.942,0.942110396,0.00602437,0.930302849,0.953917944,-0.000110396,,,,,
0.942,0.942302605,0.00602437,0.930495058,0.954110153,-0.000302605,,,,,
0.942,0.941845603,0.00602437,0.930038055,0.95365315,0.000154397,,,,,
0.942,0.941834004,0.00602437,0.930026457,0.953641552,0.000165996,,,,,
0.942,0.941639552,0.00602437,0.929832004,0.953447099,0.000360448,,,,,
0.942,0.942188635,0.00602437,0.930381087,0.953996182,-0.000188635,,,,,
0.942,0.942322774,0.00602437,0.930515227,0.954130322,-0.000322774,,,,,
0.942,0.942079981,0.00602437,0.930272434,0.953887529,-0.000079981,,,,,
0.942,0.941890835,0.00602437,0.930083287,0.953698382,0.000109166,,,,,
0.942,0.941836989,0.00602437,0.930029442,0.953644537,0.000163011,,,,,
